player,season,age,born,Minutes de jeu,# 90 min jouées,G,A,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,% dribble  réussis,% passes réussies,% passes courtes réussies,% passes moyennes réussies,% passes longues réussies,% duels aériens gagnés,xG / Tir,Valeur marchande (euros),Chevauchée avant  >5m,Passes avant >10m,Passes > 10m vers l'avant reçues,Tacles réussis qui gagnent la balle,Dribbles subis perdus,Blocs totaux,Interceptions,Tacles réussis + interceptions,Dégagements,Erreurs menant à un tir adverse,Tirs,Tirs cadrés,Distance totale des passes > 10m avant effectuées,Passes menant à un but,Touches ballon en jeu,Passes reçues,team,league,nation,pos
Aaron Ramsdale,2022.0,24.0,1998.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.685,0.9690000000000001,0.982,0.3583815028901734,1.0,,40000000.0,0.0,0.2105263157894736,0.0,0.0263157894736842,0.0,0.0,0.0,0.0263157894736842,0.5263157894736842,0.1578947368421052,0.0,0.0,344.9736842105263,0.0,31.473684210526315,16.57894736842105,Arsenal,ENG-Premier League,ENG,GK
Aaron Ramsdale,2023.0,25.0,1998.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6970000000000001,1.0,0.9840000000000001,0.3720930232558139,,,25000000.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,403.3333333333333,0.0,32.833333333333336,17.333333333333332,Arsenal,ENG-Premier League,ENG,GK
Aaron Ramsey,2020.0,29.0,1990.0,1089.0,12.1,0.17,0.33,0.5,0.17,0.5,0.35,0.27,0.62,0.35,0.62,0.7692307692307693,0.8540000000000001,0.899,0.9,0.7384615384615385,0.3809523809523809,0.175,14000000.0,3.1404958677685952,5.9504132231404965,7.933884297520661,1.8181818181818183,1.4049586776859504,1.0743801652892562,0.578512396694215,2.396694214876033,0.6611570247933884,0.1652892561983471,1.9834710743801651,0.9090909090909092,201.900826446281,2.56198347107438,70.9090909090909,57.68595041322314,Juventus,ITA-Serie A,WAL,MF
Aaron Ramsey,2021.0,29.0,1990.0,1089.0,12.1,0.17,0.33,0.5,0.17,0.5,0.35,0.27,0.62,0.35,0.62,0.7692307692307693,0.8540000000000001,0.899,0.9,0.7384615384615385,0.3809523809523809,0.175,3000000.0,3.1404958677685952,5.9504132231404965,7.933884297520661,1.8181818181818183,1.4049586776859504,1.0743801652892562,0.578512396694215,2.396694214876033,0.6611570247933884,0.1652892561983471,1.9834710743801651,0.9090909090909092,201.900826446281,2.56198347107438,70.9090909090909,57.68595041322314,Juventus,ITA-Serie A,WAL,MF
Aaron Ramsey,2022.0,31.0,1990.0,1584.0,17.6,0.06,0.06,0.11,0.06,0.11,0.14,0.1,0.24,0.14,0.24,0.5833333333333334,0.841,0.9229999999999999,0.86,0.6289308176100629,0.3333333333333333,0.1136363636363636,2500000.0,1.6477272727272725,7.159090909090908,4.7727272727272725,2.6704545454545454,1.3068181818181817,1.4204545454545454,0.9659090909090908,3.636363636363636,1.0227272727272727,0.0568181818181818,1.25,0.3409090909090909,216.42045454545453,1.5909090909090908,72.67045454545453,51.24999999999999,Nice,FRA-Ligue 1,WAL,MF
Aaron Seydel,2023.0,27.0,1996.0,619.0,6.9,0.15,0.0,0.15,0.15,0.15,0.15,0.1,0.25,0.15,0.25,0.2727272727272727,0.579,0.667,0.508,0.6666666666666666,0.5921052631578947,0.0714285714285714,500000.0,1.0144927536231882,1.4492753623188406,5.0724637681159415,0.4347826086956521,0.4347826086956521,1.1594202898550725,0.144927536231884,0.5797101449275363,1.3043478260869563,0.0,2.0289855072463765,0.8695652173913043,36.81159420289855,1.3043478260869563,41.01449275362319,31.014492753623188,Darmstadt 98,GER-Bundesliga,GER,FW
Aaron Wan-Bissaka,2020.0,22.0,1997.0,3060.0,34.0,0.06,0.12,0.18,0.06,0.18,0.03,0.07,0.09,0.03,0.09,0.5666666666666667,0.841,0.92,0.835,0.4777777777777778,0.5066666666666667,0.1285714285714286,40000000.0,2.617647058823529,4.264705882352941,5.176470588235294,2.588235294117647,0.3823529411764705,1.911764705882353,1.8235294117647056,4.411764705882353,2.4705882352941178,0.0588235294117647,0.2058823529411764,0.1176470588235294,244.58823529411765,0.9117647058823528,74.91176470588235,45.61764705882353,Manchester Utd,ENG-Premier League,ENG,DF
Aaron Wan-Bissaka,2021.0,22.0,1997.0,3060.0,34.0,0.06,0.12,0.18,0.06,0.18,0.03,0.07,0.09,0.03,0.09,0.5666666666666667,0.841,0.92,0.835,0.4777777777777778,0.5066666666666667,0.1285714285714286,25000000.0,2.617647058823529,4.264705882352941,5.176470588235294,2.588235294117647,0.3823529411764705,1.911764705882353,1.8235294117647056,4.411764705882353,2.4705882352941178,0.0588235294117647,0.2058823529411764,0.1176470588235294,244.58823529411765,0.9117647058823528,74.91176470588235,45.61764705882353,Manchester Utd,ENG-Premier League,ENG,DF
Aaron Wan-Bissaka,2022.0,24.0,1997.0,1435.0,15.9,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.14,0.07,0.14,0.4857142857142857,0.84,0.9279999999999999,0.8079999999999999,0.6363636363636364,0.4333333333333333,0.12,25000000.0,2.5786163522012577,3.459119496855346,4.0251572327044025,2.5157232704402515,0.1257861635220125,1.5094339622641508,1.3836477987421385,3.89937106918239,2.5786163522012577,0.0,0.6289308176100629,0.1257861635220125,207.0440251572327,0.9433962264150944,64.52830188679245,37.735849056603776,Manchester Utd,ENG-Premier League,ENG,DF
Aaron Wan-Bissaka,2023.0,25.0,1997.0,1780.0,19.8,0.0,0.1,0.1,0.0,0.1,0.01,0.08,0.08,0.01,0.08,0.53125,0.835,0.895,0.853,0.5,0.525,0.0333333333333333,20000000.0,1.5151515151515151,3.888888888888889,2.727272727272727,2.121212121212121,0.3535353535353535,1.4646464646464643,2.0707070707070705,4.191919191919192,3.4343434343434343,0.0505050505050505,0.1515151515151515,0.0505050505050505,178.73737373737373,0.6060606060606061,61.86868686868687,34.898989898989896,Manchester Utd,ENG-Premier League,ENG,DF
Aarón Escandell,2020.0,24.0,1995.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.491,1.0,0.966,0.3524590163934426,1.0,,1000000.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,1.2,0.0,0.0,0.0,527.4,0.0,35.2,9.8,Granada,ESP-La Liga,ESP,GK
Aarón Escandell,2021.0,24.0,1995.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.491,1.0,0.966,0.3524590163934426,1.0,,1000000.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,1.2,0.0,0.0,0.0,527.4,0.0,35.2,9.8,Granada,ESP-La Liga,ESP,GK
Aarón Escandell,2023.0,27.0,1995.0,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7440000000000001,1.0,1.0,0.4615384615384615,,,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5882352941176471,0.5882352941176471,0.0,0.0,689.4117647058823,0.0,51.76470588235294,25.88235294117647,Las Palmas,ESP-La Liga,ESP,GK
Aarón Martín,2020.0,23.0,1997.0,1540.0,17.1,0.0,0.18,0.18,0.0,0.18,0.01,0.05,0.06,0.01,0.06,0.68,0.779,0.9159999999999999,0.768,0.3763440860215054,0.4411764705882353,0.04,4500000.0,1.871345029239766,2.4561403508771926,5.029239766081871,1.9883040935672516,1.3450292397660817,0.8771929824561403,0.7602339181286549,2.7485380116959064,2.1637426900584797,0.0,0.2923976608187134,0.0584795321637426,176.54970760233917,0.3508771929824561,59.356725146198826,35.26315789473684,Celta Vigo,ESP-La Liga,ESP,DF
Aarón Martín,2022.0,25.0,1997.0,1847.0,20.5,0.24,0.15,0.39,0.24,0.39,0.11,0.14,0.24,0.07,0.2,0.4761904761904761,0.74,0.9079999999999999,0.795,0.3903743315508021,0.0714285714285714,0.1222222222222222,7000000.0,1.2195121951219512,4.195121951219512,2.975609756097561,2.048780487804878,0.926829268292683,1.0731707317073171,0.7317073170731707,2.7804878048780486,1.5121951219512195,0.0,0.8780487804878049,0.3414634146341463,254.7317073170732,1.3170731707317074,58.09756097560975,30.29268292682927,Mainz 05,GER-Bundesliga,ESP,DF
Abakar Sylla,2023.0,20.0,2002.0,1792.0,19.9,0.1,0.0,0.1,0.1,0.1,0.08,0.02,0.1,0.08,0.1,0.6923076923076923,0.878,0.922,0.917,0.5827338129496403,0.6037735849056604,0.1454545454545454,12000000.0,0.4020100502512563,3.618090452261306,0.100502512562814,2.71356783919598,0.5527638190954774,2.0100502512562817,1.306532663316583,4.020100502512563,3.5175879396984926,0.100502512562814,0.5527638190954774,0.2512562814070352,336.58291457286435,0.2512562814070352,74.87437185929649,48.34170854271357,Strasbourg,FRA-Ligue 1,CIV,DF
Abdallah Sima,2022.0,21.0,2001.0,1836.0,20.4,0.25,0.05,0.29,0.25,0.29,0.24,0.11,0.34,0.24,0.34,0.42,0.733,0.78,0.7240000000000001,0.4705882352941176,0.4056603773584906,0.123076923076923,6000000.0,1.862745098039216,1.0294117647058825,6.862745098039216,1.0784313725490198,0.5882352941176471,0.3921568627450981,0.196078431372549,1.2745098039215688,0.931372549019608,0.0,1.911764705882353,0.4901960784313726,33.72549019607843,0.7843137254901962,28.872549019607845,20.7843137254902,Angers,FRA-Ligue 1,SEN,FW
Abde Ezzalzouli,2023.0,21.0,2001.0,865.0,9.6,0.1,0.0,0.1,0.1,0.1,0.31,0.03,0.34,0.23,0.26,0.42,0.657,0.779,0.662,0.2941176470588235,0.5,0.0909090909090909,9000000.0,5.9375,2.604166666666667,9.270833333333334,1.7708333333333337,1.0416666666666667,1.0416666666666667,0.5208333333333334,2.291666666666667,0.5208333333333334,0.0,3.4375,0.8333333333333334,80.10416666666667,0.4166666666666667,53.85416666666667,39.270833333333336,Betis,ESP-La Liga,MAR,FW
Abdellah Baallal,2023.0,18.0,2004.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.75,0.667,1.0,,1.0,,50000.0,,,,,,,,,,,0.0,0.0,,,,,Clermont Foot,FRA-Ligue 1,MAR,MF
Abdellah Raihani,2023.0,19.0,2004.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.767,0.88,0.826,,,,300000.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,Atlético Madrid,ESP-La Liga,MAR,FW
Abdou Diallo,2020.0,24.0,1996.0,1490.0,16.6,0.0,0.06,0.06,0.0,0.06,0.01,0.03,0.04,0.01,0.04,0.6538461538461539,0.9259999999999999,0.97,0.938,0.7452830188679245,0.6388888888888888,0.05,25000000.0,1.686746987951807,4.578313253012047,2.048192771084337,0.9638554216867468,0.3012048192771084,0.9036144578313252,1.506024096385542,2.469879518072289,2.1686746987951806,0.0,0.2409638554216867,0.0,441.0240963855421,0.0602409638554216,79.7590361445783,59.99999999999999,Paris S-G,FRA-Ligue 1,SEN,DF
Abdou Diallo,2021.0,24.0,1996.0,1490.0,16.6,0.0,0.06,0.06,0.0,0.06,0.01,0.03,0.04,0.01,0.04,0.6538461538461539,0.9259999999999999,0.97,0.938,0.7452830188679245,0.6388888888888888,0.05,18000000.0,1.686746987951807,4.578313253012047,2.048192771084337,0.9638554216867468,0.3012048192771084,0.9036144578313252,1.506024096385542,2.469879518072289,2.1686746987951806,0.0,0.2409638554216867,0.0,441.0240963855421,0.0602409638554216,79.7590361445783,59.99999999999999,Paris S-G,FRA-Ligue 1,SEN,DF
Abdou Harroui,2022.0,24.0,1998.0,647.0,7.2,0.28,0.0,0.28,0.28,0.28,0.2,0.05,0.25,0.2,0.25,0.7333333333333333,0.825,0.905,0.845,0.6666666666666666,0.6428571428571429,0.1071428571428571,2700000.0,2.9166666666666665,5.0,4.444444444444445,2.361111111111111,0.6944444444444444,0.8333333333333333,0.2777777777777778,2.638888888888889,1.3888888888888888,0.0,1.9444444444444444,0.5555555555555556,137.77777777777777,0.8333333333333333,54.86111111111111,38.75,Sassuolo,ITA-Serie A,NED,MF
