league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,stat_type,nation_passing,pos_passing,age_passing,born_passing,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected_shooting,Expected_shooting,Expected_shooting,Expected_shooting,Expected_shooting,stat_type_shooting,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,stat_type_possession,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance_misc,Performance_misc,Performance_misc,Performance_misc,Performance_misc,Performance_misc,Performance_misc,Performance_misc,Performance_misc,Performance_misc,Performance_misc,Performance_misc,Performance_misc,Aerial Duels,Aerial Duels,Aerial Duels,stat_type_misc
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
ITA-Serie A,2020,Sassuolo,Gianluca Pegolo,ITA,GK,39,1981,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,39,1981,1.0,21,22,95.5,334,227,10,10,100.0,10,10,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,ITA,GK,39,1981,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ITA,GK,39,1981,1.0,25,24,25,0,0,0,25,0,0,,0,,10,31,23,0,0,0,0,0,7,0,possession,ITA,GK,39,1981,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense,ITA,GK,39,1981,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,misc
ITA-Serie A,2021,Sassuolo,Gianluca Pegolo,ITA,GK,39,1981,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,39,1981,1.0,21,22,95.5,334,227,10,10,100.0,10,10,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,ITA,GK,39,1981,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ITA,GK,39,1981,1.0,25,24,25,0,0,0,25,0,0,,0,,10,31,23,0,0,0,0,0,7,0,possession,ITA,GK,39,1981,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense,ITA,GK,39,1981,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,misc
ITA-Serie A,2022,Sassuolo,Gianluca Pegolo,ITA,GK,41,1981,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,41,1981,2.0,64,77,83.1,1652,1058,13,13,100.0,31,32,96.9,19,31,61.3,0,0.0,0.0,0.0,0,0,0,0,0,passing,ITA,GK,41,1981,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ITA,GK,41,1981,2.0,81,71,81,0,0,0,81,0,0,,0,,46,198,122,0,0,0,0,0,43,0,possession,ITA,GK,41,1981,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,defense,ITA,GK,41,1981,2.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,misc
ITA-Serie A,2023,Atalanta,Gianluca Scamacca,ITA,FW,24,1999,29,17,1453,16.1,12,6,18,12,0,0,1,0,6.5,6.5,3.9,10.5,22,41,167,0.74,0.37,1.11,0.74,1.11,0.4,0.24,0.65,0.4,0.65,standard,ITA,FW,24,1999,16.1,293,434,67.5,5369,1076,137,202,67.8,99,136,72.8,42,52,80.8,6,3.9,1.5,2.1,33,30,14,1,41,passing,ITA,FW,24,1999,16.1,12,60,26,43.3,3.72,1.61,0.2,0.46,15.1,0,0,0,6.5,6.5,0.11,5.5,5.5,shooting,ITA,FW,24,1999,16.1,655,15,35,283,340,93,655,31,15,48.4,11,35.5,448,2109,629,22,21,5,72,48,565,167,possession,ITA,FW,24,1999,16.1,15,9,4,5,6,7,14,50.0,7,7,1,6,4,19,9,0,defense,ITA,FW,24,1999,16.1,1,0,0,28,28,9,6,4,9,0,0,0,32,21,34,38.2,misc
ITA-Serie A,2024,Atalanta,Gianluca Scamacca,ITA,FW,26-100,1999,1,0,6,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,1.29,1.29,1.29,standard,ITA,FW,26-100,1999,0.1,1,1,100.0,8,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,ITA,FW,26-100,1999,0.1,0,1,1,100.0,15.0,15.0,0.0,0.0,9.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1,shooting,ITA,FW,26-100,1999,0.1,2,0,0,1,1,1,2,0,0,,0,,2,1,0,0,0,0,0,0,2,0,possession,ITA,FW,26-100,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,ITA,FW,26-100,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ITA-Serie A,2020,Genoa,Gianluca Scamacca,ITA,FW,21,1999,26,13,1352,15.0,8,2,10,6,2,2,1,0,7.9,6.3,2.7,8.9,20,18,87,0.53,0.13,0.67,0.4,0.53,0.52,0.18,0.7,0.42,0.6,standard,ITA,FW,21,1999,15.0,226,349,64.8,3532,535,150,202,74.3,45,74,60.8,26,35,74.3,2,2.7,1.6,-0.7,16,11,6,1,18,passing,ITA,FW,21,1999,15.0,8,45,16,35.6,3.0,1.07,0.13,0.38,17.6,1,2,2,7.9,6.3,0.14,0.1,-0.3,shooting,ITA,FW,21,1999,15.0,526,16,64,228,246,61,524,22,16,72.7,6,27.3,298,1346,555,20,11,7,43,26,378,87,possession,ITA,FW,21,1999,15.0,19,10,6,7,6,7,19,36.8,12,21,4,17,9,28,12,0,defense,ITA,FW,21,1999,15.0,1,0,0,32,17,10,10,9,10,0,0,1,54,41,39,51.3,misc
ITA-Serie A,2021,Genoa,Gianluca Scamacca,ITA,FW,21,1999,26,13,1352,15.0,8,2,10,6,2,2,1,0,7.9,6.3,2.7,8.9,20,18,87,0.53,0.13,0.67,0.4,0.53,0.52,0.18,0.7,0.42,0.6,standard,ITA,FW,21,1999,15.0,226,349,64.8,3532,535,150,202,74.3,45,74,60.8,26,35,74.3,2,2.7,1.6,-0.7,16,11,6,1,18,passing,ITA,FW,21,1999,15.0,8,45,16,35.6,3.0,1.07,0.13,0.38,17.6,1,2,2,7.9,6.3,0.14,0.1,-0.3,shooting,ITA,FW,21,1999,15.0,526,16,64,228,246,61,524,22,16,72.7,6,27.3,298,1346,555,20,11,7,43,26,378,87,possession,ITA,FW,21,1999,15.0,19,10,6,7,6,7,19,36.8,12,21,4,17,9,28,12,0,defense,ITA,FW,21,1999,15.0,1,0,0,32,17,10,10,9,10,0,0,1,54,41,39,51.3,misc
ITA-Serie A,2020,Juventus,Gianluigi Buffon,ITA,GK,42,1978,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,42,1978,8.0,259,307,84.4,5844,3805,70,70,100.0,132,133,99.2,54,100,54.0,0,0.0,0.0,0.0,0,1,0,0,0,passing,ITA,GK,42,1978,8.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ITA,GK,42,1978,8.0,321,288,320,1,0,0,321,0,0,,0,,174,695,434,0,0,0,0,0,182,0,possession,ITA,GK,42,1978,8.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,defense,ITA,GK,42,1978,8.0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,,misc
ITA-Serie A,2021,Juventus,Gianluigi Buffon,ITA,GK,42,1978,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,42,1978,8.0,259,307,84.4,5844,3805,70,70,100.0,132,133,99.2,54,100,54.0,0,0.0,0.0,0.0,0,1,0,0,0,passing,ITA,GK,42,1978,8.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ITA,GK,42,1978,8.0,321,288,320,1,0,0,321,0,0,,0,,174,695,434,0,0,0,0,0,182,0,possession,ITA,GK,42,1978,8.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,defense,ITA,GK,42,1978,8.0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,,misc
ITA-Serie A,2020,Milan,Gianluigi Donnarumma,ITA,GK,21,1999,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,21,1999,37.0,979,1232,79.5,23908,17284,266,266,100.0,445,451,98.7,264,506,52.2,0,0.0,0.0,0.0,0,9,0,0,1,passing,ITA,GK,21,1999,37.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ITA,GK,21,1999,37.0,1321,1043,1314,9,0,0,1321,1,1,100.0,0,0.0,762,4269,2811,0,0,0,0,0,670,0,possession,ITA,GK,21,1999,37.0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,23,2,defense,ITA,GK,21,1999,37.0,1,0,0,0,2,0,0,1,0,0,0,0,60,8,1,88.9,misc
ITA-Serie A,2021,Milan,Gianluigi Donnarumma,ITA,GK,21,1999,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,21,1999,37.0,979,1232,79.5,23908,17284,266,266,100.0,445,451,98.7,264,506,52.2,0,0.0,0.0,0.0,0,9,0,0,1,passing,ITA,GK,21,1999,37.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ITA,GK,21,1999,37.0,1321,1043,1314,9,0,0,1321,1,1,100.0,0,0.0,762,4269,2811,0,0,0,0,0,670,0,possession,ITA,GK,21,1999,37.0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,23,2,defense,ITA,GK,21,1999,37.0,1,0,0,0,2,0,0,1,0,0,0,0,60,8,1,88.9,misc
FRA-Ligue 1,2022,Paris S-G,Gianluigi Donnarumma,ITA,GK,23,1999,38,38,3409,37.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,23,1999,37.9,811,935,86.7,16498,10725,259,260,99.6,413,420,98.3,126,241,52.3,0,0.0,0.0,0.0,0,2,0,0,0,passing,ITA,GK,23,1999,37.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ITA,GK,23,1999,37.9,1021,909,1016,6,0,0,1021,1,1,100.0,0,0.0,695,3076,1895,0,0,0,0,0,447,0,possession,ITA,GK,23,1999,37.9,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,12,4,defense,ITA,GK,23,1999,37.9,3,0,0,1,4,0,0,0,0,0,1,0,44,7,1,87.5,misc
FRA-Ligue 1,2023,Paris S-G,Gianluigi Donnarumma,ITA,GK,24,1999,25,25,2169,24.1,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,24,1999,24.1,686,773,88.7,14587,8096,177,178,99.4,399,406,98.3,107,185,57.8,0,0.0,0.0,0.0,0,2,0,0,0,passing,ITA,GK,24,1999,24.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ITA,GK,24,1999,24.1,842,739,838,4,0,0,842,1,1,100.0,0,0.0,622,2547,1432,0,0,0,1,0,459,0,possession,ITA,GK,24,1999,24.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,4,defense,ITA,GK,24,1999,24.1,3,1,0,2,0,0,0,1,0,0,1,0,28,2,1,66.7,misc
FRA-Ligue 1,2024,Paris S-G,Gianluigi Donnarumma,ITA,GK,26-045,1999,21,21,1821,20.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,26-045,1999,20.2,498,573,86.9,11064,6383,101,101,100.0,301,305,98.7,95,166,57.2,0,0.0,0.0,0.0,0,3,0,0,0,passing,ITA,GK,26-045,1999,20.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ITA,GK,26-045,1999,20.2,611,511,600,11,0,0,611,0,0,,0,,318,1479,939,0,0,0,0,0,334,0,possession,ITA,GK,26-045,1999,20.2,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,10,0,defense,ITA,GK,26-045,1999,20.2,2,0,0,0,2,0,0,0,1,0,0,0,30,3,0,100.0,misc
FRA-Ligue 1,2022,Auxerre,Gideon Mensah,GHA,DF,24,1998,26,26,2262,25.1,0,0,0,0,0,0,5,0,0.1,0.1,2.1,2.1,56,116,110,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.09,0.0,0.09,standard,GHA,DF,24,1998,25.1,1126,1457,77.3,19117,7266,558,635,87.9,454,558,81.4,89,193,46.1,0,2.1,2.1,-2.1,25,97,20,12,116,passing,GHA,DF,24,1998,25.1,0,5,1,20.0,0.2,0.04,0.0,0.0,25.3,0,0,0,0.1,0.1,0.01,-0.1,-0.1,shooting,GHA,DF,24,1998,25.1,1734,90,531,852,384,9,1734,59,26,44.1,28,47.5,1140,7390,3334,56,63,1,44,13,945,110,possession,GHA,DF,24,1998,25.1,80,44,43,32,5,44,77,57.1,33,33,10,23,38,118,41,0,defense,GHA,DF,24,1998,25.1,5,0,0,29,18,1,67,38,44,0,1,0,246,21,20,51.2,misc
FRA-Ligue 1,2024,Auxerre,Gideon Mensah,GHA,DF,26-267,1998,23,21,1851,20.6,0,1,1,0,0,0,2,0,0.2,0.2,2.1,2.3,41,76,79,0.0,0.05,0.05,0.0,0.05,0.01,0.1,0.11,0.01,0.11,standard,GHA,DF,26-267,1998,20.6,807,1035,78.0,13536,5430,419,463,90.5,286,366,78.1,81,147,55.1,1,2.1,1.3,-1.1,17,50,19,9,76,passing,GHA,DF,26-267,1998,20.6,0,4,1,25.0,0.19,0.05,0.0,0.0,21.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,shooting,GHA,DF,26-267,1998,20.6,1296,72,427,614,272,13,1296,50,27,54.0,22,44.0,672,3663,1978,41,26,6,33,30,683,79,possession,GHA,DF,26-267,1998,20.6,56,36,27,20,9,26,53,49.1,27,22,4,18,40,96,69,0,defense,GHA,DF,26-267,1998,20.6,2,0,0,25,23,1,61,40,36,0,1,0,132,14,16,46.7,misc
GER-Bundesliga,2024,Hoffenheim,Gift Orban,NGA,FW,22-268,2002,12,7,657,7.3,4,0,4,4,0,0,2,0,3.4,3.4,0.0,3.4,7,7,33,0.55,0.0,0.55,0.55,0.55,0.46,0.0,0.46,0.46,0.46,standard,NGA,FW,22-268,2002,7.3,93,134,69.4,1312,204,49,64,76.6,25,33,75.8,9,14,64.3,0,0.0,0.3,0.0,1,1,2,1,7,passing,NGA,FW,22-268,2002,7.3,4,11,4,36.4,1.51,0.55,0.36,1.0,17.4,0,0,0,3.4,3.4,0.31,0.6,0.6,shooting,NGA,FW,22-268,2002,7.3,196,1,20,87,89,20,196,11,4,36.4,7,63.6,103,398,159,7,6,3,13,5,116,33,possession,NGA,FW,22-268,2002,7.3,3,1,2,1,0,1,6,16.7,5,7,0,7,0,3,3,0,defense,NGA,FW,22-268,2002,7.3,2,0,0,15,7,8,4,0,1,0,0,0,17,8,17,32.0,misc
FRA-Ligue 1,2023,Lyon,Gift Orban,NGA,FW,21,2002,13,5,474,5.3,1,0,1,1,0,0,2,0,1.1,1.1,0.0,1.1,8,6,33,0.19,0.0,0.19,0.19,0.19,0.21,0.0,0.21,0.21,0.21,standard,NGA,FW,21,2002,5.3,73,103,70.9,1022,169,40,52,76.9,19,26,73.1,5,11,45.5,0,0.0,0.2,0.0,0,3,2,0,6,passing,NGA,FW,21,2002,5.3,1,8,2,25.0,1.52,0.38,0.13,0.5,12.7,0,0,0,1.1,1.1,0.14,-0.1,-0.1,shooting,NGA,FW,21,2002,5.3,159,2,12,70,80,25,159,13,5,38.5,7,53.8,127,657,194,8,4,8,21,7,122,33,possession,NGA,FW,21,2002,5.3,4,3,0,1,3,1,4,25.0,3,2,0,2,1,5,2,1,defense,NGA,FW,21,2002,5.3,2,0,0,9,10,2,3,1,3,0,0,0,14,3,15,16.7,misc
FRA-Ligue 1,2024,Lyon,Gift Orban,NGA,"FW,DF",22-268,2002,3,2,186,2.1,2,0,2,2,0,0,1,0,1.2,1.2,0.0,1.2,1,2,12,0.97,0.0,0.97,0.97,0.97,0.59,0.01,0.6,0.59,0.6,standard,NGA,"FW,DF",22-268,2002,2.1,22,33,66.7,369,117,11,14,78.6,5,7,71.4,4,6,66.7,0,0.0,0.1,0.0,1,1,1,0,2,passing,NGA,"FW,DF",22-268,2002,2.1,2,4,3,75.0,1.94,1.45,0.5,0.67,8.7,0,0,0,1.2,1.2,0.3,0.8,0.8,shooting,NGA,"FW,DF",22-268,2002,2.1,49,0,6,13,30,10,49,5,2,40.0,3,60.0,26,108,36,1,0,1,6,0,35,12,possession,NGA,"FW,DF",22-268,2002,2.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,defense,NGA,"FW,DF",22-268,2002,2.1,1,0,0,5,1,4,1,0,0,0,0,0,5,1,4,20.0,misc
GER-Bundesliga,2022,Stuttgart,Gil Bastião Dias,POR,FW,25,1996,7,6,398,4.4,1,0,1,1,0,0,0,0,0.5,0.5,0.7,1.2,16,14,33,0.23,0.0,0.23,0.23,0.23,0.12,0.15,0.26,0.12,0.26,standard,POR,FW,25,1996,4.4,120,174,69.0,1874,372,57,77,74.0,52,61,85.2,5,13,38.5,0,0.7,0.5,-0.7,8,7,7,1,14,passing,POR,FW,25,1996,4.4,1,10,4,40.0,2.26,0.9,0.1,0.25,20.2,0,0,0,0.5,0.5,0.05,0.5,0.5,shooting,POR,FW,25,1996,4.4,246,4,46,111,97,13,246,19,10,52.6,8,42.1,157,1079,531,16,5,4,17,11,164,33,possession,POR,FW,25,1996,4.4,8,6,3,4,1,3,12,25.0,9,7,0,7,2,10,3,0,defense,POR,FW,25,1996,4.4,0,0,0,6,5,2,6,2,6,0,0,0,30,7,8,46.7,misc
FRA-Ligue 1,2023,Lorient,Gino Caoki,FRA,MF,19,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,FRA,MF,19,2004,0.1,2,4,50.0,26,14,2,2,100.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,FRA,MF,19,2004,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,FRA,MF,19,2004,0.1,4,1,2,2,0,0,4,0,0,,0,,4,28,21,1,0,0,0,0,3,0,possession,FRA,MF,19,2004,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,defense,FRA,MF,19,2004,0.1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,,misc
ITA-Serie A,2023,Fiorentina,Gino Infantino,ARG,MF,20,2003,6,0,96,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0,7,4,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,standard,ARG,MF,20,2003,1.1,39,46,84.8,617,140,24,26,92.3,12,14,85.7,3,3,100.0,0,0.0,0.0,0.0,1,4,0,0,7,passing,ARG,MF,20,2003,1.1,0,1,0,0.0,0.94,0.0,0.0,,29.3,0,0,0,0.0,0.0,0.02,0.0,0.0,shooting,ARG,MF,20,2003,1.1,59,0,5,39,15,1,59,3,3,100.0,0,0.0,41,138,49,0,1,0,1,4,46,4,possession,ARG,MF,20,2003,1.1,1,1,0,1,0,0,1,0.0,1,4,0,4,3,4,1,0,defense,ARG,MF,20,2003,1.1,1,0,0,4,2,0,0,3,1,0,0,0,2,1,5,16.7,misc
GER-Bundesliga,2020,Dortmund,Gio Reyna,USA,"MF,FW",17,2002,32,23,1976,22.0,4,5,9,4,0,0,1,0,4.1,4.1,5.2,9.2,65,64,215,0.18,0.23,0.41,0.18,0.41,0.18,0.24,0.42,0.18,0.42,standard,USA,"MF,FW",17,2002,22.0,754,957,78.8,10611,2195,456,533,85.6,227,274,82.8,33,68,48.5,5,5.2,3.8,-0.2,35,48,27,1,64,passing,USA,"MF,FW",17,2002,22.0,4,38,12,31.6,1.73,0.55,0.11,0.33,16.6,0,0,0,4.1,4.1,0.11,-0.1,-0.1,shooting,USA,"MF,FW",17,2002,22.0,1193,13,103,532,568,96,1193,74,44,59.5,30,40.5,725,4684,2298,65,51,33,54,44,946,215,possession,USA,"MF,FW",17,2002,22.0,24,13,9,8,7,9,25,36.0,16,14,1,13,10,34,11,0,defense,USA,"MF,FW",17,2002,22.0,1,0,0,26,48,4,60,10,13,1,0,0,87,17,39,30.4,misc
GER-Bundesliga,2021,Dortmund,Gio Reyna,USA,"MF,FW",17,2002,32,23,1976,22.0,4,5,9,4,0,0,1,0,4.1,4.1,5.2,9.2,65,64,215,0.18,0.23,0.41,0.18,0.41,0.18,0.24,0.42,0.18,0.42,standard,USA,"MF,FW",17,2002,22.0,754,957,78.8,10611,2195,456,533,85.6,227,274,82.8,33,68,48.5,5,5.2,3.8,-0.2,35,48,27,1,64,passing,USA,"MF,FW",17,2002,22.0,4,38,12,31.6,1.73,0.55,0.11,0.33,16.6,0,0,0,4.1,4.1,0.11,-0.1,-0.1,shooting,USA,"MF,FW",17,2002,22.0,1193,13,103,532,568,96,1193,74,44,59.5,30,40.5,725,4684,2298,65,51,33,54,44,946,215,possession,USA,"MF,FW",17,2002,22.0,24,13,9,8,7,9,25,36.0,16,14,1,13,10,34,11,0,defense,USA,"MF,FW",17,2002,22.0,1,0,0,26,48,4,60,10,13,1,0,0,87,17,39,30.4,misc
GER-Bundesliga,2022,Dortmund,Gio Reyna,USA,"FW,MF",19,2002,22,4,625,6.9,7,2,9,6,1,1,2,0,4.3,3.5,1.3,4.8,23,25,57,1.01,0.29,1.3,0.86,1.15,0.62,0.18,0.81,0.51,0.69,standard,USA,"FW,MF",19,2002,6.9,248,314,79.0,3622,872,147,174,84.5,66,86,76.7,16,23,69.6,2,1.3,1.9,0.7,12,14,12,2,25,passing,USA,"FW,MF",19,2002,6.9,7,24,11,45.8,3.46,1.58,0.25,0.55,15.1,1,1,1,4.3,3.5,0.16,2.7,2.5,shooting,USA,"FW,MF",19,2002,6.9,420,6,36,168,220,46,419,23,8,34.8,12,52.2,274,1610,759,23,19,7,13,15,324,57,possession,USA,"FW,MF",19,2002,6.9,14,7,2,5,7,5,10,50.0,5,8,2,6,3,17,5,0,defense,USA,"FW,MF",19,2002,6.9,2,0,0,8,17,1,17,3,7,0,1,0,23,7,14,33.3,misc
GER-Bundesliga,2023,Dortmund,Gio Reyna,USA,"MF,FW",20,2002,11,1,280,3.1,0,0,0,0,0,0,1,0,0.8,0.8,0.8,1.6,8,20,19,0.0,0.0,0.0,0.0,0.0,0.27,0.25,0.52,0.27,0.52,standard,USA,"MF,FW",20,2002,3.1,166,193,86.0,2376,582,105,112,93.8,51,63,81.0,5,7,71.4,0,0.8,1.1,-0.8,7,15,7,2,20,passing,USA,"MF,FW",20,2002,3.1,0,8,2,25.0,2.57,0.64,0.0,0.0,17.4,0,0,0,0.8,0.8,0.1,-0.8,-0.8,shooting,USA,"MF,FW",20,2002,3.1,239,9,30,110,103,15,239,8,5,62.5,3,37.5,144,711,312,8,6,2,8,7,176,19,possession,USA,"MF,FW",20,2002,3.1,9,6,3,4,2,2,5,40.0,3,5,1,4,2,11,5,0,defense,USA,"MF,FW",20,2002,3.1,1,0,0,2,5,1,4,2,6,0,0,0,19,4,5,44.4,misc
GER-Bundesliga,2024,Dortmund,Gio Reyna,USA,MF,22-149,2002,14,3,328,3.6,2,0,2,2,0,0,3,0,0.2,0.2,0.2,0.4,5,18,18,0.55,0.0,0.55,0.55,0.55,0.05,0.07,0.11,0.05,0.11,standard,USA,MF,22-149,2002,3.6,136,176,77.3,1939,546,85,99,85.9,39,52,75.0,9,16,56.3,0,0.2,0.6,-0.2,2,14,5,3,18,passing,USA,MF,22-149,2002,3.6,2,3,2,66.7,0.82,0.55,0.67,1.0,18.3,0,0,0,0.2,0.2,0.06,1.8,1.8,shooting,USA,MF,22-149,2002,3.6,223,7,24,107,93,5,223,7,4,57.1,3,42.9,122,520,227,5,3,0,9,7,152,18,possession,USA,MF,22-149,2002,3.6,6,0,3,0,3,3,4,75.0,1,3,1,2,0,6,9,0,defense,USA,MF,22-149,2002,3.6,3,0,0,8,2,0,13,0,0,0,0,0,15,7,6,53.8,misc
